S2_T,S2-H,S2_P,S3_T,S3_H,S3_P,S5_T,S5_H,S5_P,S6_T,S6_H,S6_P
0.779670034,-1.201930768,0.999588571,0.82775435,-1.301187208,0.999588571,1.172379157,-1.121935219,0.999588571,0.818676755,-0.339656243,1.038975065
0.004408747,-0.513179974,0.955162412,0.319882125,-0.859777071,0.955162412,0.53971836,-0.582234871,0.955162412,-0.029435215,0.158279185,1.013000688
-0.50395375,0.061774918,0.888523174,0.007561809,-0.399056587,0.888523174,0.291871862,-0.42889808,0.888523174,-0.048953753,0.146334492,1.013000688
-0.437483403,0.123286216,0.755244698,-0.490110766,0.153549566,0.755244698,0.252738205,-0.455859854,0.755244698,-0.032898181,0.124843637,0.961051935
-0.197376233,0.181809823,0.666392381,-0.218940762,0.161158848,0.666392381,0.024458536,0.081914652,0.666392381,-0.122305679,0.335386854,0.961051935
-0.263507445,0.176801046,0.621966222,-0.294558856,0.161230634,0.621966222,-0.2266491,0.386728802,0.621966222,-0.558639454,0.625561363,0.935077559
-0.270290134,0.131282685,0.510900825,-0.663504815,0.160656348,0.510900825,-0.363616901,0.522666616,0.510900825,-0.350231836,-0.072315767,0.805205675
-0.137688575,0.021528954,0.399835428,-0.443684773,0.160728134,0.399835428,-0.595157708,0.692140627,0.399835428,-0.689917365,0.44663081,0.597410662
2.537403739,-2.406146242,2.043603301,2.912703484,-3.075800965,2.043603301,2.046364175,-2.23493852,2.043603301,2.23440041,-1.211954685,2.545488909
2.663900879,-2.662911976,2.221307936,2.57330134,-2.794831819,2.221307936,2.463789856,-2.037838651,2.221307936,2.023159455,-1.340228224,2.935104559
3.027792113,-3.248851028,2.110242539,2.133661256,-2.591678349,2.110242539,2.245293601,-2.042420825,2.110242539,2.175844795,-1.429885383,2.883155805
1.456243205,-1.845690441,1.954750983,2.25183651,-2.540566946,1.954750983,1.266952163,-1.612626233,1.954750983,0.919102782,-0.491771199,2.909130182
